URL,Online,Intimacy/personal 0-10,Geographic Location,Mood 0-10 (calm to excited),Visually Colorful 0-10,Format,Description,Timezone,Intensity [0-10],Camera proximity (0 faraway - 10 near),Interior,Iconic (yes/no)
http://31.134.151.78/mjpg/video.mjpg,TRUE,2,"st petersburg, russia",4,6,mjpg,building,3,5,9,FALSE,
http://216.9.0.53:84/mjpg/video.mjpg,TRUE,5,"Seattle, USA",,,mjpg,classroom,-7,8,5,TRUE,
http://97.68.168.59/mjpg/video.mjpg,TRUE,,"Daytona Beach, USA",,,mjpg,road,-4,5,4,FALSE,
http://200.52.135.36/mjpg/video.mjpg,TRUE,9,"Naucalpan De Juarez, Mexico",6,7,mjpg,kindergarten,-6,8,5,TRUE,
http://108.12.132.51/mjpg/1/video.mjpg,TRUE,2,"New York, USA",5,8,mjpg,road side advertising,-4,6,6,FALSE,
http://128.119.70.55:86/mjpg/video.mjpg,TRUE,1,"amherst, USA",1,6,mjpg,machine,-4,5,3,TRUE,
http://209.248.148.41/mjpg/video.mjpg,TRUE,2,"Springfield, USA",1,7,mjpg,electrical circuits,-4,4,2,TRUE,
http://86.47.47.41:1024/mjpg/video.mjpg,TRUE,4,"Dublin, Ireland",5,6,mjpg,church,-1,4,6,TRUE,
http://78.188.134.47/mjpg/video.mjpg,TRUE,4,"Ankara, Turkey",3,5,mjpg,storage closet,3,4,4,TRUE,
http://200.214.130.38:3000/mjpg/video.mjpg,TRUE,8,"rio de janeiro, Brazil",2,4,mjpg,waiting room,-3,8,5,TRUE,
http://200.214.130.38:9000/mjpg/video.mjpg,TRUE,8,"rio de janeiro, Brazil",2,5,mjpg,waiting area,-3,8,5,TRUE,
http://200.52.135.39/mjpg/video.mjpg,TRUE,10,"Naucalpan De Juarez, Mexico",7,9,mjpg,kindergarten,-6,8,5,TRUE,
http://89.186.215.39:3000/mjpg/video.mjpg,TRUE,8,"Buchs, Sweden",1,4,mjpg,smoking area,2,4,5,TRUE,
http://141.212.37.39/mjpg/video.mjpg,TRUE,8,"Ann Harbour, USA",5,4,mjpg,computers/lab,-4,5,5,TRUE,
http://130.149.32.39/mjpg/quad/video.mjpg,TRUE,1,"Berlin, Germany",1,1,mjpg,lab,1,5,2,TRUE,
http://200.117.250.39:8083/mjpg/video.mjpg,TRUE,7,"Buenos Aires, Argentina",5,5,mjpg,office,-3,5,6,TRUE,
http://93.123.226.39/mjpg/video.mjpg,TRUE,5,"Moscow, Russia",3,5,mjpg,parking lot,3,6,7,FALSE,
http://50.247.3.40/mjpg/video.mjpg,FALSE,,"San Jose, USa",,,mjpg,kindergarten,-7,8,,TRUE,
http://92.255.185.40/mjpg/video.mjpg,TRUE,7,"Omsk, Russia",3,4,mjpg,hotel lobby,7,7,5,TRUE,
http://81.8.143.35/mjpg/video.mjpg,TRUE,5,"Vindeln, Sweden",5,8,mjpg,garden,2,4,4,FALSE,
http://207.188.247.34/mjpg/video.mjpg,TRUE,7,"Betheshda, USA",3,3,mjpg,"hallway, elevators",-4,7,6,TRUE,
http://107.1.228.34/mjpg/video.mjpg,TRUE,3,"Plainfield, USA",6,8,mjpg,"windmill, baths",-4,6,8,FALSE,
http://186.67.202.34:8084/mjpg/video.mjpg,TRUE,6,"Santiago, Chile",5,6,mjpg,warehouse,-4,6,8,TRUE,
http://200.52.135.24/mjpg/video.mjpg,TRUE,9,"Naucalpan De Juarez, Mexico",6,7,mjpg,kindergarten,-6,8,5,TRUE,
http://209.137.240.24:8081/mjpg/video.mjpg,TRUE,6,"Buttle, USA",5,4,mjpg,stables,-6,4,5,,
http://154.126.208.35/mjpg/video.mjpg,TRUE,2,"Cape Town, South Africa",2,2,mjpg,landing strip,2,2,8,FALSE,
http://209.225.99.35/mjpg/video.mjpg,TRUE,7,Milwaulkee USA,7,7,mjpg,"terrace, waterfront",-5,6,5,FALSE,
http://128.193.47.35/mjpg/video.mjpg,TRUE,5,"corvallis, usa",1,4,mjpg,factory,-7,6,7,TRUE,
http://216.159.64.30/mjpg/video.mjpg,TRUE,5,"Sioux City, USA",5,5,mjpg,houses and parking lot,-5,6,6,FALSE,
http://71.43.231.29/mjpg/video.mjpg,TRUE,,"Orlando, USA",,,mjpg,plane,-4,5,6,TRUE,
http://200.52.135.29/mjpg/video.mjpg,TRUE,9,"Naucalpan De Juarez, Mexico",6,7,mjpg,kindergarten,-6,4,5,TRUE,
http://95.230.85.28/mjpg/video.mjpg,TRUE,5,"Rome, Italy",3,5,mjpg,street views,2,5,5,FALSE,
http://72.52.116.28/mjpg/video.mjpg,TRUE,3,"Fremont, USA",4,8,mjpg,cables,-7,6,2,TRUE,
http://88.12.6.26:8080/mjpg/video.mjpg,TRUE,2,"Madrid, Spain",1,0,mjpg,warehouses,2,4,6,FALSE,
http://75.145.30.26/mjpg/video.mjpg,TRUE,2,USA,3,4,mjpg,building,-6,3,7,FALSE,
http://200.52.135.25/mjpg/video.mjpg,TRUE,9,"Naucalpan De Juarez, Mexico",6,7,mjpg,kindergarten,-6,5,5,TRUE,
http://203.138.220.33/mjpg/video.mjpg,TRUE,7,"osaka, Japan",5,9,mjpg,street view,9,6,6,FALSE,
http://66.109.142.31/mjpg/video.mjpg,TRUE,5,"Missoulla, USA",6,5,mjpg,plants,-6,5,7,FALSE,
http://129.16.208.250/mjpg/video.mjpg,TRUE,3,"Goeteburg, Sweden",3,6,mjpg,satellite dishes,2,7,7,FALSE,
http://96.89.129.22:84/mjpg/video.mjpg,TRUE,8,"Pittsburgh, USA",6,8,mjpg,kindergarten,-4,6,5,TRUE,
http://96.89.129.22:81/mjpg/video.mjpg,TRUE,8,"Pittsburgh, USA",6,8,mjpg,kindergarten,-4,6,5,TRUE,
http://96.89.129.22:8084/mjpg/video.mjpg3,TRUE,8,"Pittsburgh, USA",6,8,mjpg,kindergarten,-4,6,5,TRUE,
http://96.89.129.22:85/mjpg/video.mjpg,TRUE,8,"Pittsburgh, USA",6,8,mjpg,kindergarten,-4,6,5,TRUE,
http://96.89.129.22:8081/mjpg/video.mjpg,TRUE,8,"Pittsburgh, USA",6,8,mjpg,kindergarten,-4,6,6,TRUE,
